,Fecha,COGENERADOR,EOLICA,HIDRAULICA,SOLAR,TERMICA,Total,Renovable(%),Mean,Niño/a
0,1995,0,0,14537,0,3611,18148,80,-0.1708333333333333,Neutral
1,1996,0,0,33947,0,6302,40249,84,-0.4591666666666667,Neutral
2,1997,0,0,30275,0,11493,41768,72,1.1708333333333334,El Niño
3,1998,33,0,29678,0,12711,42422,69,-0.05500000000000003,Neutral
4,1999,112,0,32637,0,7765,40514,80,-1.2241666666666666,La Niña
5,2000,108,0,31074,0,10095,41277,75,-0.8450000000000002,La Niña
6,2001,103,0,32439,0,10506,43048,75,-0.3108333333333334,Neutral
7,2002,107,0,34670,0,9957,44734,77,0.66,El Niño
8,2003,108,0,37197,0,9430,46735,79,0.23249999999999996,Neutral
9,2004,120,51,39849,0,8543,48563,82,0.445,Neutral
10,2005,114,50,40979,0,9288,50431,81,0.041666666666666685,Neutral
11,2006,94,63,42558,0,9625,52340,81,0.08749999999999997,Neutral
12,2007,73,50,44242,0,9262,53627,82,-0.6175,La Niña
13,2008,52,54,46161,0,8128,54395,84,-0.7841666666666667,La Niña
14,2009,106,58,40837,0,14964,55965,73,0.28583333333333333,Neutral
15,2010,220,39,40557,0,15971,56787,71,-0.48666666666666664,Neutral
16,2011,317,41,48432,0,9831,58621,82,-0.8641666666666667,La Niña
17,2012,347,55,47582,0,11907,59891,79,-0.14000000000000004,Neutral
18,2013,352,58,44363,0,17424,62197,71,-0.3191666666666667,Neutral
19,2014,472,70,44742,0,19044,64328,69,0.11416666666666665,Neutral
20,2015,526,68,44682,0,21272,66548,67,1.4574999999999998,El Niño
21,2016,600,51,46799,0,18493,65943,71,0.33083333333333337,Neutral
22,2017,634,3,57343,5,8682,66667,86,-0.2025,Neutral
23,2018,734,43,56651,9,11510,68947,82,0.012499999999999992,Neutral
24,2019,732,63,54437,115,14767,70114,77,0.47749999999999987,Neutral
25,2020,783,10,49837,191,18503,69324,72,-0.36166666666666664,Neutral
26,2021,786,60,60496,323,12268,73933,82,-0.7216666666666667,La Niña
27,2022,764,74,64337,503,11230,76908,84,-0.9391666666666666,La Niña
