,Fecha,COGENERADOR,EOLICA,HIDRAULICA,SOLAR,TERMICA,Total_x,Renovable,Total_y,Niñoa
0,1995,0,0,14537,0,3611,18148,80,-1.9000000000000001,Niña
1,1996,0,0,33947,0,6302,40249,84,-5.600000000000001,Niña
2,1997,0,0,30275,0,11407,41682,72,14.0,Niño
3,1998,33,0,29678,0,12711,42422,69,-0.7999999999999998,Niña
4,1999,109,0,32637,0,7765,40511,80,-14.8,Niña
5,2000,108,0,31074,0,10095,41277,75,-9.899999999999999,Niña
6,2001,103,0,32439,0,10506,43048,75,-3.5999999999999996,Niña
7,2002,107,0,34670,0,9957,44734,77,7.6,Niño
8,2003,108,0,37197,0,9430,46735,79,3.0999999999999996,Niño
9,2004,120,51,39849,0,8543,48563,82,5.500000000000001,Niño
10,2005,114,50,40979,0,9288,50431,81,0.40000000000000013,Niño
11,2006,94,63,42558,0,9625,52340,81,0.6999999999999997,Niño
12,2007,73,50,44242,0,9262,53627,82,-7.300000000000001,Niña
13,2008,52,54,46161,0,8128,54395,84,-9.299999999999999,Niña
14,2009,106,58,40837,0,14964,55965,73,3.6,Niño
15,2010,220,39,40557,0,15971,56787,71,-5.699999999999999,Niña
16,2011,317,41,48432,0,9831,58621,82,-10.199999999999998,Niña
17,2012,347,55,47582,0,11907,59891,79,-1.7999999999999998,Niña
18,2013,352,58,44363,0,17424,62197,71,-3.9,Niña
19,2014,472,70,44742,0,19044,64328,69,1.3,Niño
20,2015,526,68,44682,0,21272,66548,67,17.5,Niño
21,2016,600,51,46799,0,18493,65943,71,3.9,Niño
22,2017,634,3,57343,5,8682,66667,86,-2.5,Niña
23,2018,734,43,56651,9,11510,68947,82,0.1000000000000002,Niño
24,2019,732,63,54437,115,14767,70114,77,5.699999999999999,Niño
25,2020,783,10,49837,191,18503,69324,72,-4.4,Niña
26,2021,786,60,60496,323,12268,73933,82,-8.7,Niña
27,2022,764,74,64337,503,11230,76908,84,-11.3,Niña
